fuel_type,mpg_city,mpg_highway,co2
gasoline,16,21,493.7222222
gasoline,15,23,493.7222222
gasoline,18,24,444.35
gasoline,18,28,423.1904762
gasoline,17,22,467.7368421
gasoline,16,22,493.7222222
gasoline,24,26,355.48
gasoline,21,24,403.9545455
gasoline,20,24,423.1904762
gasoline,16,20,522.7647059
gasoline,20,22,423.1904762
gasoline,22,24,386.3913043
gasoline,16,21,493.7222222
gasoline,15,23,493.7222222
gasoline,15,19,522.7647059
gasoline,11,15,683.6153846
gasoline,11,16,683.6153846
gasoline,11,15,740.5833333
gasoline,15,20,555.4375
gasoline,15,20,555.4375
gasoline,15,21,522.7647059
gasoline,14,17,592.4666667
gasoline,14,17,592.4666667
gasoline,15,20,522.7647059
gasoline,15,20,522.7647059
gasoline,11,15,740.5833333
gasoline,10,14,740.5833333
gasoline,17,20,493.7222222
gasoline,14,18,592.4666667
gasoline,15,18,555.4375
gasoline,13,19,592.4666667
gasoline,12,16,634.7857143
gasoline,13,19,592.4666667
gasoline,15,20,555.4375
gasoline,15,20,555.4375
gasoline,12,17,634.7857143
gasoline,16,19,522.7647059
gasoline,14,15,634.7857143
gasoline,15,18,555.4375
gasoline,12,17,634.7857143
gasoline,12,16,683.6153846
gasoline,11,15,740.5833333
gasoline,11,16,683.6153846
gasoline,14,18,555.4375
gasoline,15,20,522.7647059
gasoline,20,22,423.1904762
gasoline,22,24,386.3913043
gasoline,20,22,423.1904762
gasoline,22,24,386.3913043
gasoline,15,20,555.4375
gasoline,15,20,555.4375
gasoline,11,15,740.5833333
gasoline,11,15,683.6153846
diesel,15,22,565.5555556
gasoline,11,16,683.6153846
gasoline,16,20,522.7647059
gasoline,14,17,592.4666667
gasoline,14,17,592.4666667
gasoline,13,16,634.7857143
gasoline,14,17,555.4375
gasoline,9,11,888.7
gasoline,11,14,740.5833333
gasoline,11,14,740.5833333
gasoline,14,17,592.4666667
gasoline,18,24,444.35
gasoline,14,17,592.4666667
gasoline,14,17,592.4666667
gasoline,15,20,522.7647059
gasoline,16,21,493.7222222
gasoline,14,18,555.4375
gasoline,16,21,493.7222222
gasoline,13,17,634.7857143
gasoline,15,20,522.7647059
gasoline,19,22,444.35
gasoline,21,26,386.3913043
gasoline,19,24,423.1904762
gasoline,19,20,444.35
gasoline,21,26,386.3913043
gasoline,24,26,355.48
gasoline,20,22,423.1904762
gasoline,19,24,423.1904762
gasoline,19,24,423.1904762
gasoline,20,24,423.1904762
gasoline,22,24,386.3913043
gasoline,21,24,403.9545455
gasoline,20,22,423.1904762
gasoline,21,24,403.9545455
gasoline,19,26,403.9545455
